Date,Price,Open,High,Low,Vol.,Change %
8/7/2014,9594.3,9594.30,9660.00,9528.60,121.44K,0.00%
8/8/2014,9594.3,9594.30,9660.00,9528.60,285.61K,0.00%
8/11/2014,9594.3,9594.30,9660.00,9594.30,250.81K,0.00%
8/12/2014,9594.3,9528.60,9660.00,9528.60,263.96K,0.00%
8/13/2014,9594.3,9594.30,9660.00,9528.60,330.91K,0.00%
8/14/2014,9594.3,9594.30,9660.00,9528.60,313.51K,0.00%
8/15/2014,9594.3,9594.30,9660.00,9528.60,502.43K,0.00%
8/18/2014,9528.6,9594.30,9594.30,9528.60,373.67K,-0.68%
8/19/2014,9528.6,9528.60,9660.00,9528.60,329.81K,0.00%
8/20/2014,9528.6,9528.60,9594.30,9528.60,368.27K,0.00%
8/21/2014,9528.6,9528.60,9594.30,9462.90,272.78K,0.00%
8/22/2014,9528.6,9528.60,9594.30,9528.60,420.70K,0.00%
8/25/2014,9594.3,9594.30,9660.00,9594.30,487.87K,0.69%
8/26/2014,9660,9594.30,9660.00,9528.60,288.08K,0.68%
8/27/2014,9528.6,9594.30,9660.00,9528.60,271.76K,-1.36%
8/28/2014,9594.3,9594.30,9660.00,9528.60,232.62K,0.69%
8/29/2014,9725.7,9660.00,10054.30,9660.00,3.62M,1.37%
9/3/2014,9988.6,9922.90,10054.30,9922.90,1.59M,2.70%
9/4/2014,9791.4,9922.90,9988.60,9791.40,259.65K,-1.97%
9/5/2014,9791.4,9791.40,9857.20,9725.70,476.51K,0.00%
9/8/2014,9725.7,9791.40,9857.20,9725.70,497.73K,-0.67%
9/9/2014,9594.3,9725.70,9791.40,9528.60,841.04K,-1.35%
9/10/2014,9594.3,9594.30,9660.00,9528.60,386.65K,0.00%
9/11/2014,9594.3,9594.30,9594.30,9528.60,291.18K,0.00%
9/12/2014,9594.3,9594.30,9725.70,9594.30,393.44K,0.00%
9/15/2014,9594.3,9594.30,9660.00,9528.60,288.13K,0.00%
9/16/2014,9594.3,9528.60,9594.30,9462.90,552.53K,0.00%
9/17/2014,9594.3,9594.30,9660.00,9528.60,635.54K,0.00%
9/18/2014,9528.6,9528.60,9594.30,9528.60,438.91K,-0.68%
9/19/2014,9528.6,9528.60,9594.30,9528.60,665.66K,0.00%
9/22/2014,9528.6,9528.60,9660.00,9528.60,456.11K,0.00%
9/23/2014,9594.3,9528.60,9660.00,9528.60,589.34K,0.69%
9/24/2014,9594.3,9594.30,9660.00,9594.30,664.13K,0.00%
9/25/2014,9594.3,9528.60,9660.00,9528.60,719.54K,0.00%
9/26/2014,9594.3,9660.00,9660.00,9528.60,495.27K,0.00%
9/29/2014,9528.6,9594.30,9594.30,9528.60,305.51K,-0.68%
9/30/2014,9462.9,9528.60,9594.30,9462.90,355.29K,-0.69%
10/1/2014,9462.9,9594.30,9594.30,9462.90,327.60K,0.00%
10/2/2014,9660,9528.60,9660.00,9462.90,626.18K,2.08%
10/3/2014,9594.3,9594.30,9660.00,9528.60,161.52K,-0.68%
10/6/2014,9594.3,9594.30,9594.30,9528.60,233.80K,0.00%
10/7/2014,9594.3,9594.30,9660.00,9528.60,371.20K,0.00%
10/8/2014,9594.3,9594.30,9660.00,9528.60,467.05K,0.00%
