Date,Price,Open,High,Low,Vol.,Change %
4/13/2015,14231,14385.00,14538.00,14231.00,664.94K,-1.07%
4/14/2015,14231,14385.00,14462.00,14154.00,768.08K,0.00%
4/15/2015,14077,14231.00,14231.00,14077.00,1.58M,-1.08%
4/16/2015,14154,14077.00,14231.00,14000.00,1.80M,0.55%
4/17/2015,14000,14154.00,14231.00,13923.00,1.90M,-1.09%
4/20/2015,13769,13923.00,14000.00,13769.00,1.01M,-1.65%
4/21/2015,13692,13615.00,13846.00,13615.00,1.29M,-0.56%
4/22/2015,13385,13692.00,13692.00,13385.00,1.24M,-2.24%
4/23/2015,13077,13385.00,13385.00,13077.00,1.46M,-2.30%
4/24/2015,13538,13077.00,13615.00,13077.00,1.47M,3.53%
4/27/2015,13769,13769.00,13769.00,13615.00,658.91K,1.71%
5/4/2015,13154,13769.00,13769.00,13154.00,1.20M,-4.47%
5/5/2015,13462,13154.00,13462.00,13077.00,977.83K,2.34%
5/6/2015,13154,13538.00,13538.00,13077.00,461.72K,-2.29%
5/7/2015,13154,13077.00,13308.00,13077.00,310.23K,0.00%
5/8/2015,13154,13154.00,13385.00,13154.00,658.80K,0.00%
5/11/2015,13154,13154.00,13385.00,13154.00,558.62K,0.00%
5/12/2015,13077,13154.00,13231.00,13000.00,673.93K,-0.59%
5/13/2015,12923,13077.00,13154.00,12923.00,510.22K,-1.18%
5/14/2015,12846,12923.00,12923.00,12692.00,638.61K,-0.60%
5/15/2015,12615,12692.00,12846.00,12615.00,587.63K,-1.80%
5/18/2015,12615,12615.00,12615.00,12077.00,1.19M,0.00%
5/19/2015,12615,12692.00,12846.00,12615.00,599.89K,0.00%
5/20/2015,12923,12692.00,12923.00,12615.00,553.48K,2.44%
5/21/2015,13077,12923.00,13154.00,12846.00,817.70K,1.19%
5/22/2015,13615,13077.00,13615.00,13077.00,2.09M,4.11%
5/25/2015,13769,13462.00,13769.00,13462.00,735.89K,1.13%
5/26/2015,14000,13769.00,14077.00,13769.00,1.84M,1.68%
5/27/2015,13923,13846.00,14000.00,13769.00,1.53M,-0.55%
5/28/2015,14308,13923.00,14538.00,13846.00,3.65M,2.77%
5/29/2015,13923,14308.00,14462.00,13846.00,3.72M,-2.69%
6/1/2015,14308,13692.00,14462.00,13692.00,2.98M,2.77%
6/2/2015,13923,14154.00,14385.00,13846.00,1.67M,-2.69%
6/3/2015,13923,13846.00,14000.00,13769.00,969.88K,0.00%
6/4/2015,13846,13846.00,14077.00,13846.00,673.28K,-0.55%
6/5/2015,14154,13846.00,14154.00,13769.00,1.63M,2.22%
6/8/2015,14154,14615.00,14615.00,14154.00,2.61M,0.00%
6/9/2015,13923,14077.00,14231.00,13769.00,1.72M,-1.63%
6/10/2015,13923,13923.00,13923.00,13769.00,821.26K,0.00%
6/11/2015,14000,14000.00,14154.00,13846.00,1.21M,0.55%
6/12/2015,14154,14077.00,14154.00,13923.00,1.43M,1.10%
6/15/2015,14231,14231.00,14385.00,14154.00,2.60M,0.54%
6/16/2015,14231,14308.00,14385.00,14231.00,1.86M,0.00%
6/17/2015,14231,14231.00,14231.00,14077.00,725.43K,0.00%
6/18/2015,14231,14077.00,14231.00,14077.00,836.15K,0.00%
6/19/2015,14615,14231.00,14615.00,14154.00,31.71M,2.70%
6/22/2015,14538,14615.00,14692.00,14462.00,5.50M,-0.53%
6/23/2015,14385,14538.00,14538.00,14385.00,1.07M,-1.05%
6/24/2015,14154,14385.00,14385.00,14154.00,2.35M,-1.61%
6/25/2015,14154,14308.00,14308.00,14154.00,164.92K,0.00%
6/26/2015,13923,14154.00,14154.00,13923.00,523.67K,-1.63%
6/29/2015,14308,13846.00,14385.00,13846.00,2.05M,2.77%
6/30/2015,14308,14077.00,14538.00,14077.00,2.55M,0.00%
7/1/2015,14385,14538.00,14538.00,14231.00,563.33K,0.54%
7/2/2015,14538,14385.00,14615.00,14308.00,1.91M,1.06%
7/3/2015,14538,14615.00,14615.00,14462.00,1.10M,0.00%
7/6/2015,14615,14615.00,14615.00,14462.00,1.45M,0.53%
7/7/2015,15000,14538.00,15000.00,14385.00,2.26M,2.63%
7/8/2015,15308,15077.00,15385.00,14769.00,2.12M,2.05%
7/9/2015,15231,14923.00,15308.00,14923.00,961.68K,-0.50%
7/10/2015,15154,15308.00,15308.00,15077.00,521.16K,-0.51%
7/13/2015,14615,15154.00,15154.00,14615.00,1.27M,-3.56%
7/14/2015,15000,14615.00,15154.00,14615.00,1.61M,2.63%
7/15/2015,14692,14692.00,15000.00,14692.00,257.17K,-2.05%
7/16/2015,14923,14692.00,15000.00,14615.00,788.84K,1.57%
7/17/2015,14692,14923.00,14923.00,14615.00,620.89K,-1.55%
7/20/2015,14462,14538.00,14615.00,14385.00,604.06K,-1.57%
7/21/2015,14538,14385.00,14538.00,14231.00,405.34K,0.53%
7/22/2015,14615,14538.00,14769.00,14308.00,654.90K,0.53%
7/23/2015,14538,14615.00,14692.00,14462.00,257.97K,-0.53%
7/24/2015,14231,14538.00,14538.00,14231.00,243.22K,-2.11%
7/27/2015,14615,14231.00,14615.00,14231.00,640.74K,2.70%
7/28/2015,14308,14385.00,14538.00,14308.00,396.86K,-2.10%
7/29/2015,14077,14231.00,14308.00,14077.00,730.56K,-1.61%
7/30/2015,14154,14000.00,14154.00,13846.00,787.96K,0.55%
7/31/2015,14615,14077.00,14692.00,14077.00,2.40M,3.26%
8/3/2015,14615,14615.00,14769.00,14385.00,1.75M,0.00%
8/4/2015,14615,14846.00,14846.00,14538.00,576.68K,0.00%
8/5/2015,15000,14846.00,15000.00,14538.00,1.85M,2.63%
8/6/2015,14692,15000.00,15000.00,14538.00,159.33K,-2.05%
